inst,ground_truth
"andeq r0, r0, r3 ",1
"muleq r5, r2, r2 ",1
"andeq r0, r0, r0, asr r1 ",1
"strheq r0, [r0], -sb ",1
"andeq r0, r0, r2, asr 32 ",1
"andeq r0, r0, sl, lsr r0 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"andeq r3, r5, ip, lsl r4 ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq r4, r5, r0, ror r6 ",1
invalid ,1
"andeq r0, r0, sp, ror 20 ",1
"subeq lr, ip, 0x80000 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq r5, r5, r4, lsl 30 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00001058] ",0
"strb r0, [r8] ",0
"ldrb r1, [r8] ",0
"str r0, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"ldr r8, [0x00001054] ",0
"mov sb, r8 ",0
"mov r0, r1 ",0
"str r1, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r1} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001048] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001044] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"str r1, [r8, 4] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0xc3e] ",0
"mov r1, 0 ",0
"str r1, [r8, 8] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0xc3d] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001040] ",0
"str r1, [r8] ",0
"mov r0, r0 ",0
"ldr r8, [0x00001040] ",0
"ldr r1, [r8] ",0
"ldr r2, [0x0000103c] ",0
"cmp r1, r2 ",0
"movgt r1, 1 ",0
"movle r1, 0 ",0
"cmp r1, 0 ",0
bne 0x160 ,0
"mov r0, r0 ",0
"mov r0, 0 ",0
"ldr r8, [0x00001040] ",0
"ldr r1, [r8] ",0
"ldr r8, [0x00001038] ",0
"strb r0, [r8, r1] ",0
"ldr r8, [0x00001040] ",0
"ldr r0, [r8] ",0
"add r0, r0, 1 ",0
"str r0, [r8] ",0
b 0x10c ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"mov r0, 0 ",0
"ldr r8, [0x00001034] ",0
"str r0, [r8] ",0
"mov r0, 0 ",0
"strb r0, [r8, -3] ",0
"mov r0, 0 ",0
"strb r0, [r8, -2] ",0
"mov r0, 0 ",0
"str r0, [r8, 4] ",0
"mov r0, 0 ",0
"str r0, [r8, 8] ",0
"mov r0, 0 ",0
