inst,ground_truth
"andeq r0, r0, r3 ",1
"andeq r8, r1, lr, ror r1 ",1
"muleq r0, ip, r1 ",1
"andeq r0, r0, lr, lsl ip ",1
"muleq r0, sl, r0 ",1
"andeq r0, r0, pc, lsl r0 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"muleq r1, ip, r3 ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"strheq r7, [r1], -ip ",1
invalid ,1
"andeq r0, r0, ip ",1
"adceq pc, r2, r8, asr r7 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq r8, r1, r0, ror r1 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00001058] ",0
"strb r0, [r8] ",0
"mov r2, lr ",0
bl 0x78 ,0
"strbpl r4, [lr, -0x14d] ",1
"andeq r4, r0, r1, asr 24 ",1
"mov r1, lr ",0
"mov lr, r2 ",0
"ldr r3, [0x00001054] ",0
"add r2, r8, r3 ",0
"mov r4, 0 ",0
"mov r0, r0 ",0
"mov r3, 7 ",0
"cmp r4, r3 ",0
"movhs r3, 1 ",0
"movlo r3, 0 ",0
"cmp r3, 0 ",0
bne 0xc0 ,0
"mov r0, r0 ",0
"ldrb r3, [r1, r4] ",0
"strb r3, [r2, r4] ",0
"add r4, r4, 1 ",0
b 0x8c ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"mov r1, 0 ",0
"ldr r8, [0x00001050] ",0
"strb r1, [r8] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 1 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"mov r1, 0 ",0
"strb r1, [r8, 5] ",0
"mov r1, 0 ",0
"strb r1, [r8, 6] ",0
"mov r1, 0 ",0
"strb r1, [r8, 7] ",0
"mov r1, 0 ",0
"strb r1, [r8, 8] ",0
"mov r1, 0 ",0
"strb r1, [r8, 9] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0xd ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0xa] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x11 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0xb] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0xc] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x15 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0x19] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0x1a] ",0
"mov r1, 0 ",0
"strh r1, [r8, 0x1b] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x1d ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0x21] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x25 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001048] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x29 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
"add r0, r8, 0x2d ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x0000104c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, 0x19d] ",0
"ldrb r1, [r8, 0x19e] ",0
"str r0, [sp, -4]! ",0
