inst,ground_truth
"andeq r0, r0, r3 ",1
"andeq lr, r3, r6, ror 11 ",1
"andeq r0, r0, r0, asr r1 ",1
"andeq r1, r0, sb, lsr 3 ",1
"muleq r0, r2, r3 ",1
"andeq r0, r0, r6, lsr 32 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"andeq sb, r3, ip, ror lr ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq sl, r3, r8, lsl r4 ",1
invalid ,1
"muleq r0, r8, r1 ",1
"orrseq r2, r4, sl, lsr r5 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq fp, r3, ip, lsl r7 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00001058] ",0
"strb r0, [r8] ",0
"str r0, [sp, -4]! ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001054] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"ldr r2, [0x00001048] ",0
"ldr r8, [0x00001044] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, -0xaf] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001058] ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001040] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"mov r2, 0 ",0
"ldr r8, [0x0000103c] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, 8] ",0
"mov r2, 0 ",0
"strb r2, [r8, 9] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001058] ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001038] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"mov r2, 0 ",0
"ldr r8, [0x00001034] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, -0x1a] ",0
"mov r2, 0 ",0
"strb r2, [r8, -0x19] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001058] ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001030] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"mov r2, 0 ",0
"ldr r8, [0x0000102c] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, 8] ",0
"mov r2, 0 ",0
"strb r2, [r8, 9] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001058] ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001028] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"mov r2, 0 ",0
"ldr r8, [0x00001024] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, -0x1a] ",0
"mov r2, 0 ",0
"strb r2, [r8, -0x19] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001058] ",0
"ldrb r2, [r8] ",0
"ldr r8, [0x00001020] ",0
"mov r0, r8 ",0
"mov r1, r2 ",0
"str r2, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r2} ,0
pop {r0} ,0
"mov r2, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r2, [r8] ",0
"mov r2, 0 ",0
"ldr r8, [0x0000101c] ",0
"str r2, [r8] ",0
"mov r2, 0 ",0
"str r2, [r8, 4] ",0
"mov r2, 0 ",0
"strb r2, [r8, 8] ",0
"mov r2, 0 ",0
"strb r2, [r8, 9] ",0
"str r0, [sp, -4]! ",0
